bank_name,gvkey,iid,datadate,fyear,at,ch,ivst,ist,tdst,lcuacu,lcabg,rcl,teq,seq,ceq,intan,pstk,nicon,npat,total_assets,liquid_assets,gross_loans,loan_loss_allowances,total_equity,shareholder_equity,common_equity,intangible_assets,preferred_equity,net_income,nonperforming_assets,first_trading_date,first_trading_year,market_age
ABN AMRO Bank NV,320764,90W,20211231,2021,399113.0000,67596.0000,10597.0000,43165.0000,4786.0000,257260.0000,8756.0000,2425.0000,21999.0000,21994.0000,21994.0000,127.0000,,1231.00000,6705.0000,399113,126144,266016,2425,21999,21994,21994,127,,1231,6705,1984-01-02,1984,37
ABN AMRO Bank NV,320764,90W,20221231,2022,379581.0000,62601.0000,14263.0000,39034.0000,6168.0000,242564.0000,8330.0000,2033.0000,22814.0000,22812.0000,22812.0000,108.0000,,1776.00000,5179.0000,379581,122066,250894,2033,22814,22812,22812,108,,1776,5179,1984-01-02,1984,38
ABN AMRO Bank NV,320764,90W,20231231,2023,377909.0000,55053.0000,15016.0000,41501.0000,6475.0000,243713.0000,8935.0000,1605.0000,24168.0000,24165.0000,24165.0000,99.0000,,,4711.0000,377909,118045,252648,1605,24168,24165,24165,99,,,4711,1984-01-02,1984,39
ABN AMRO Bank NV,320764,90W,20241231,2024,385047.0000,45629.0000,20255.0000,47173.0000,7213.0000,247264.0000,8772.0000,1369.0000,26108.0000,26105.0000,26105.0000,253.0000,,,5262.0000,385047,120270,256036,1369,26108,26105,26105,253,,,5262,1984-01-02,1984,40
ABN AMRO Bank NV,320764,90W,20251231,2025,413210.0000,50618.0000,30013.0000,50231.0000,6436.0000,252230.0000,14269.0000,1225.0000,27043.0000,27040.0000,27040.0000,356.0000,,,5420.0000,413210,137298,266499,1225,27043,27040,27040,356,,,5420,1984-01-02,1984,41
AIB Group PLC,015505,01W,20211231,2021,127875.0000,43192.0000,1828.0000,16972.0000,852.0000,55970.0000,958.0000,1885.0000,13660.0000,13661.0000,13661.0000,996.0000,,582.00000,3148.0000,127875,62844,56928,1885,13660,13661,13661,996,,582,3148,1984-01-02,1984,37
AIB Group PLC,015505,01W,20221231,2022,129752.0000,39050.0000,3183.0000,16270.0000,2519.0000,58701.0000,1236.0000,1618.0000,12261.0000,12264.0000,12264.0000,940.0000,,702.00000,2171.0000,129752,61022,59937,1618,12261,12264,12264,940,,702,2171,1984-01-02,1984,38
AIB Group PLC,015505,01W,20231231,2023,136349.0000,38777.0000,4063.0000,17353.0000,2470.0000,64731.0000,1066.0000,1520.0000,15069.0000,15075.0000,15075.0000,925.0000,,1996.00000,1981.0000,136349,62663,65797,1520,15069,15075,15075,925,,1996,1981,1984-01-02,1984,39
AIB Group PLC,015505,01W,20241231,2024,141266.0000,38080.0000,3802.0000,18773.0000,2280.0000,68877.0000,1321.0000,1344.0000,15427.0000,15436.0000,15436.0000,934.0000,,2274.00000,2003.0000,141266,62935,70198,1344,15427,15436,15436,934,,2274,2003,1984-01-02,1984,40
AIB Group PLC,015505,01W,20251231,2025,148151.0000,40641.0000,4688.0000,21548.0000,1927.0000,70894.0000,601.0000,1143.0000,14691.0000,14702.0000,14702.0000,987.0000,,2056.00000,1593.0000,148151,68804,71495,1143,14691,14702,14702,987,,2056,1593,1984-01-02,1984,41
BNP Paribas SA,015532,04W,20211231,2021,2634444.0000,358039.0000,241310.0000,429989.0000,443059.0000,803503.0000,21751.0000,20028.0000,122507.0000,117886.0000,117886.0000,8780.0000,,8332.00000,27819.0000,2634444,1472397,825254,20028,122507,117886,117886,8780,,8332,27819,1984-01-02,1984,37
BNP Paribas SA,015532,04W,20221231,2022,2666376.0000,330487.0000,181328.0000,393989.0000,515259.0000,844300.0000,32616.0000,17298.0000,126555.0000,121792.0000,121792.0000,9084.0000,,8935.00000,25276.0000,2666376,1421063,876916,17298,126555,121792,121792,9084,,8935,25276,1984-01-02,1984,38
BNP Paribas SA,015532,04W,20231231,2023,2591499.0000,296611.0000,216758.0000,430283.0000,525945.0000,850349.0000,24335.0000,17611.0000,128867.0000,123742.0000,123742.0000,9691.0000,,7351.00000,25308.0000,2591499,1469597,874684,17611,128867,123742,123742,9691,,7351,25308,1984-01-02,1984,39
BNP Paribas SA,015532,04W,20241231,2024,2704908.0000,191978.0000,212787.0000,507613.0000,614709.0000,890170.0000,31147.0000,16993.0000,134141.0000,128137.0000,128137.0000,9942.0000,,10843.00000,25824.0000,2704908,1527087,921317,16993,134141,128137,128137,9942,,10843,25824,1984-01-02,1984,40
BNP Paribas SA,015532,04W,20251231,2025,2792981.0000,221788.0000,241217.0000,539818.0000,617008.0000,885678.0000,26259.0000,16070.0000,132173.0000,125513.0000,125513.0000,11716.0000,,11520.00000,26253.0000,2792981,1619831,911937,16070,132173,125513,125513,11716,,11520,26253,1984-01-02,1984,41
BPER Banca SpA,200647,01W,20211231,2021,136347.8730,1306.2820,20848.6020,13287.0570,677.9000,87357.6030,7293.0850,2111.4800,6858.8090,6696.3120,6696.3120,459.1970,,525.12300,,136347.873,36119.841,94650.688,2111.48,6858.809,6696.312,6696.312,459.197,,525.123,,1984-01-02,1984,37
BPER Banca SpA,200647,01W,20221231,2022,152302.7940,13997.4410,1945.0790,15336.8750,2860.2590,98545.7450,8223.6080,1883.6940,8120.5290,7940.1730,7940.1730,563.5020,,1448.97500,,152302.794,34139.654,106769.353,1883.694,8120.529,7940.173,7940.173,563.502,,1448.975,,1984-01-02,1984,38
BPER Banca SpA,200647,01W,20231231,2023,142128.3590,10085.5950,1416.0250,14354.6820,2092.3550,91040.5530,11011.8640,1523.4960,9565.4770,9366.1490,9366.1490,648.9810,,1519.49600,,142128.359,27948.657,102052.417,1523.496,9565.477,9366.149,9366.149,648.981,,1519.496,,1984-01-02,1984,39
BPER Banca SpA,200647,01W,20241231,2024,140591.4320,7887.9000,1392.9360,12812.8760,1439.8530,98339.3030,7681.2310,1633.6990,11564.2800,11353.8670,11353.8670,710.7630,,1402.64900,,140591.432,23533.565,106020.534,1633.699,11564.28,11353.867,11353.867,710.763,,1402.649,,1984-01-02,1984,40
BPER Banca SpA,200647,01W,20251231,2025,204649.9600,11681.1920,,9430.1100,1715.9240,159215.1050,8324.0170,,17595.4990,16565.0450,16565.0450,1608.2390,,1818.44700,1300.0000,204649.96,22827.226,167539.122,,17595.499,16565.045,16565.045,1608.239,,1818.447,1300,1984-01-02,1984,41
Banca Monte dei Paschi di Siena SpA,024584,01W,20211231,2021,137868.5620,1741.7660,26724.5940,7620.0050,9948.4250,79501.9510,4259.6520,2384.8700,6173.9980,6172.6520,6172.6520,185.2290,,309.50700,4051.4860,137868.562,46034.79,83761.603,2384.87,6173.998,6172.652,6172.652,185.229,,309.507,4051.486,1984-01-02,1984,37
Banca Monte dei Paschi di Siena SpA,024584,01W,20221231,2022,120172.9180,12538.5780,4648.6640,6032.7990,6610.2860,80407.0210,2731.5080,2018.5340,7798.5440,7797.6080,7797.6080,162.6490,,-204.70000,3285.9240,120172.918,29830.327,83138.529,2018.534,7798.544,7797.608,7797.608,162.649,,-204.7,3285.924,1984-01-02,1984,38
Banca Monte dei Paschi di Siena SpA,024584,01W,20231231,2023,122613.6910,14317.2770,7804.4620,4131.3410,6149.0300,78768.8900,3289.1460,2191.6000,9979.1090,9978.4580,9978.4580,178.2240,,2051.78100,3473.2820,122613.691,32402.11,82058.036,2191.6,9979.109,9978.458,9978.458,178.224,,2051.781,3473.282,1984-01-02,1984,39
Banca Monte dei Paschi di Siena SpA,024584,01W,20241231,2024,122601.7500,13249.3980,8490.2340,4060.0240,5902.7100,78467.2540,2830.8630,2183.4090,11649.2840,11648.9480,11648.9480,156.0660,,1972.80400,,122601.75,31702.366,81298.117,2183.409,11649.284,11648.948,11648.948,156.066,,1972.804,,1984-01-02,1984,40
Banca Monte dei Paschi di Siena SpA,024584,01W,20251231,2025,241640.5000,15472.1000,,54372.0000,6059.6000,142842.3000,8214.5000,,30209.7000,27961.2000,27961.2000,2961.3000,,2715.70000,4200.0000,241640.5,75903.7,151056.8,,30209.7,27961.2,27961.2,2961.3,,2715.7,4200,1984-01-02,1984,41
Banco BPM SpA,225081,01W,20211231,2021,200489.2160,29159.3530,14143.8070,13050.6500,4987.6020,112634.4790,12773.9900,3574.6580,13096.0590,13094.9510,13094.9510,1213.7220,,569.06800,6376.1780,200489.216,61341.412,125408.469,3574.658,13096.059,13094.951,13094.951,1213.722,,569.068,6376.178,1984-01-02,1984,37
Banco BPM SpA,225081,01W,20221231,2022,189685.8950,13137.9180,4087.1960,18053.2390,6252.0920,128245.9950,5492.2380,2867.5390,17184.6950,17183.9750,17183.9750,1286.7340,,702.58900,,189685.895,41530.445,133738.233,2867.539,17184.695,17183.975,17183.975,1286.734,,702.589,,1984-01-02,1984,38
Banco BPM SpA,225081,01W,20231231,2023,202131.9730,18302.5940,6840.0540,29405.1290,5737.5710,118361.8390,8203.6440,2348.7870,14038.1600,14038.0920,14038.0920,1257.4250,,1260.45300,,202131.973,60285.348,126565.483,2348.787,14038.16,14038.092,14038.092,1257.425,,1260.453,,1984-01-02,1984,39
