bank_name,gvkey,iid,datadate,prccd,ajexdi,trfd,adj_close,ret,prev_adj_close
ABN AMRO Bank NV,320764,90W,2021-01-01,8.02000000,1.00000000,1.25876728,10.095313586,,10.095313586
ABN AMRO Bank NV,320764,90W,2021-01-04,7.75000000,1.00000000,1.25876728,9.75544642,-0.033665835,9.75544642
ABN AMRO Bank NV,320764,90W,2021-01-05,8.00200000,1.00000000,1.25876728,10.072655775,0.032516129,10.072655775
ABN AMRO Bank NV,320764,90W,2021-01-06,8.69000000,1.00000000,1.25876728,10.938687663,0.0859785054,10.938687663
ABN AMRO Bank NV,320764,90W,2021-01-07,9.00000000,1.00000000,1.25876728,11.32890552,0.0356731876,11.32890552
ABN AMRO Bank NV,320764,90W,2021-01-08,8.96400000,1.00000000,1.25876728,11.283589898,-0.004,11.283589898
ABN AMRO Bank NV,320764,90W,2021-01-11,8.90400000,1.00000000,1.25876728,11.208063861,-0.00669344,11.208063861
ABN AMRO Bank NV,320764,90W,2021-01-12,9.00000000,1.00000000,1.25876728,11.32890552,0.0107816712,11.32890552
ABN AMRO Bank NV,320764,90W,2021-01-13,8.80600000,1.00000000,1.25876728,11.084704668,-0.021555556,11.084704668
ABN AMRO Bank NV,320764,90W,2021-01-14,8.74400000,1.00000000,1.25876728,11.006661096,-0.007040654,11.006661096
ABN AMRO Bank NV,320764,90W,2021-01-15,8.62000000,1.00000000,1.25876728,10.850573954,-0.014181153,10.850573954
ABN AMRO Bank NV,320764,90W,2021-01-18,8.74800000,1.00000000,1.25876728,11.011696165,0.0148491879,11.011696165
ABN AMRO Bank NV,320764,90W,2021-01-19,8.53400000,1.00000000,1.25876728,10.742319968,-0.024462734,10.742319968
ABN AMRO Bank NV,320764,90W,2021-01-20,8.59000000,1.00000000,1.25876728,10.812810935,0.0065619873,10.812810935
ABN AMRO Bank NV,320764,90W,2021-01-21,8.51200000,1.00000000,1.25876728,10.714627087,-0.009080326,10.714627087
ABN AMRO Bank NV,320764,90W,2021-01-22,8.33200000,1.00000000,1.25876728,10.488048977,-0.021146617,10.488048977
ABN AMRO Bank NV,320764,90W,2021-01-25,7.97200000,1.00000000,1.25876728,10.034892756,-0.043206913,10.034892756
ABN AMRO Bank NV,320764,90W,2021-01-26,8.31000000,1.00000000,1.25876728,10.460356097,0.0423983944,10.460356097
ABN AMRO Bank NV,320764,90W,2021-01-27,8.39600000,1.00000000,1.25876728,10.568610083,0.0103489771,10.568610083
ABN AMRO Bank NV,320764,90W,2021-01-28,8.55400000,1.00000000,1.25876728,10.767495313,0.018818485,10.767495313
ABN AMRO Bank NV,320764,90W,2021-01-29,8.61000000,1.00000000,1.25876728,10.837986281,0.0065466448,10.837986281
ABN AMRO Bank NV,320764,90W,2021-02-01,8.67800000,1.00000000,1.25876728,10.923582456,0.0078977933,10.923582456
ABN AMRO Bank NV,320764,90W,2021-02-02,8.60400000,1.00000000,1.25876728,10.830433677,-0.00852731,10.830433677
ABN AMRO Bank NV,320764,90W,2021-02-03,8.51400000,1.00000000,1.25876728,10.717144622,-0.010460251,10.717144622
ABN AMRO Bank NV,320764,90W,2021-02-04,8.56600000,1.00000000,1.25876728,10.78260052,0.0061075875,10.78260052
ABN AMRO Bank NV,320764,90W,2021-02-05,8.56400000,1.00000000,1.25876728,10.780082986,-0.000233481,10.780082986
ABN AMRO Bank NV,320764,90W,2021-02-08,8.50800000,1.00000000,1.25876728,10.709592018,-0.006539,10.709592018
ABN AMRO Bank NV,320764,90W,2021-02-09,8.55000000,1.00000000,1.25876728,10.762460244,0.0049365303,10.762460244
ABN AMRO Bank NV,320764,90W,2021-02-10,8.42000000,1.00000000,1.25876728,10.598820498,-0.015204678,10.598820498
ABN AMRO Bank NV,320764,90W,2021-02-11,8.47600000,1.00000000,1.25876728,10.669311465,0.0066508314,10.669311465
ABN AMRO Bank NV,320764,90W,2021-02-12,8.77000000,1.00000000,1.25876728,11.039389046,0.0346861727,11.039389046
ABN AMRO Bank NV,320764,90W,2021-02-15,9.10000000,1.00000000,1.25876728,11.454782248,0.0376282782,11.454782248
ABN AMRO Bank NV,320764,90W,2021-02-16,9.12400000,1.00000000,1.25876728,11.484992663,0.0026373626,11.484992663
ABN AMRO Bank NV,320764,90W,2021-02-17,9.12600000,1.00000000,1.25876728,11.487510197,0.0002192021,11.487510197
ABN AMRO Bank NV,320764,90W,2021-02-18,8.94000000,1.00000000,1.25876728,11.253379483,-0.020381328,11.253379483
ABN AMRO Bank NV,320764,90W,2021-02-19,9.29000000,1.00000000,1.25876728,11.693948031,0.0391498881,11.693948031
ABN AMRO Bank NV,320764,90W,2021-02-22,9.41600000,1.00000000,1.25876728,11.852552708,0.0135629709,11.852552708
ABN AMRO Bank NV,320764,90W,2021-02-23,9.40400000,1.00000000,1.25876728,11.837447501,-0.001274427,11.837447501
ABN AMRO Bank NV,320764,90W,2021-02-24,9.58600000,1.00000000,1.25876728,12.066543146,0.0193534666,12.066543146
ABN AMRO Bank NV,320764,90W,2021-02-25,9.67400000,1.00000000,1.25876728,12.177314667,0.0091800542,12.177314667
ABN AMRO Bank NV,320764,90W,2021-02-26,9.52000000,1.00000000,1.25876728,11.983464506,-0.015918958,11.983464506
ABN AMRO Bank NV,320764,90W,2021-03-01,9.69200000,1.00000000,1.25876728,12.199972478,0.0180672269,12.199972478
ABN AMRO Bank NV,320764,90W,2021-03-02,9.69200000,1.00000000,1.25876728,12.199972478,0,12.199972478
ABN AMRO Bank NV,320764,90W,2021-03-03,9.79000000,1.00000000,1.25876728,12.323331671,0.0101114321,12.323331671
ABN AMRO Bank NV,320764,90W,2021-03-04,9.74800000,1.00000000,1.25876728,12.270463445,-0.004290092,12.270463445
ABN AMRO Bank NV,320764,90W,2021-03-05,9.84000000,1.00000000,1.25876728,12.386270035,0.0094378334,12.386270035
ABN AMRO Bank NV,320764,90W,2021-03-08,10.74000000,1.00000000,1.25876728,13.519160587,0.0914634146,13.519160587
ABN AMRO Bank NV,320764,90W,2021-03-09,10.76500000,1.00000000,1.25876728,13.550629769,0.0023277467,13.550629769
ABN AMRO Bank NV,320764,90W,2021-03-10,10.44500000,1.00000000,1.25876728,13.14782424,-0.029725964,13.14782424
ABN AMRO Bank NV,320764,90W,2021-03-11,10.20000000,1.00000000,1.25876728,12.839426256,-0.023456199,12.839426256
ABN AMRO Bank NV,320764,90W,2021-03-12,10.50000000,1.00000000,1.25876728,13.21705644,0.0294117647,13.21705644
ABN AMRO Bank NV,320764,90W,2021-03-15,9.95600000,1.00000000,1.25876728,12.53228704,-0.051809524,12.53228704
ABN AMRO Bank NV,320764,90W,2021-03-16,10.07500000,1.00000000,1.25876728,12.682080346,0.0119525914,12.682080346
ABN AMRO Bank NV,320764,90W,2021-03-17,10.22500000,1.00000000,1.25876728,12.870895438,0.0148883375,12.870895438
ABN AMRO Bank NV,320764,90W,2021-03-18,10.51500000,1.00000000,1.25876728,13.235937949,0.0283618582,13.235937949
ABN AMRO Bank NV,320764,90W,2021-03-19,10.37000000,1.00000000,1.25876728,13.053416694,-0.013789824,13.053416694
ABN AMRO Bank NV,320764,90W,2021-03-22,10.17000000,1.00000000,1.25876728,12.801663238,-0.019286403,12.801663238
ABN AMRO Bank NV,320764,90W,2021-03-23,10.23500000,1.00000000,1.25876728,12.883483111,0.0063913471,12.883483111
ABN AMRO Bank NV,320764,90W,2021-03-24,10.33000000,1.00000000,1.25876728,13.003066002,0.0092818759,13.003066002
ABN AMRO Bank NV,320764,90W,2021-03-25,10.33500000,1.00000000,1.25876728,13.009359839,0.0004840271,13.009359839
ABN AMRO Bank NV,320764,90W,2021-03-26,10.38500000,1.00000000,1.25876728,13.072298203,0.0048379294,13.072298203
ABN AMRO Bank NV,320764,90W,2021-03-29,10.25000000,1.00000000,1.25876728,12.90236462,-0.012999519,12.90236462
ABN AMRO Bank NV,320764,90W,2021-03-30,10.37500000,1.00000000,1.25876728,13.05971053,0.012195122,13.05971053
ABN AMRO Bank NV,320764,90W,2021-03-31,10.36000000,1.00000000,1.25876728,13.040829021,-0.001445783,13.040829021
ABN AMRO Bank NV,320764,90W,2021-04-01,10.35000000,1.00000000,1.25876728,13.028241348,-0.000965251,13.028241348
ABN AMRO Bank NV,320764,90W,2021-04-02,10.35000000,1.00000000,1.25876728,13.028241348,0,13.028241348
ABN AMRO Bank NV,320764,90W,2021-04-05,10.35000000,1.00000000,1.25876728,13.028241348,0,13.028241348
ABN AMRO Bank NV,320764,90W,2021-04-06,10.39400000,1.00000000,1.25876728,13.083627108,0.0042512077,13.083627108
ABN AMRO Bank NV,320764,90W,2021-04-07,10.48600000,1.00000000,1.25876728,13.199433698,0.0088512603,13.199433698
ABN AMRO Bank NV,320764,90W,2021-04-08,10.40800000,1.00000000,1.25876728,13.10124985,-0.007438489,13.10124985
