topic,llm_label,llm_ok,heuristic_label,peak_bank,peak_year,peak_value,importance_norm,importance_topN_norm,importance_raw,top_words_pretty
158,Crisis management challenges,True,threshold challenge crisis,,,,0.4456794600797141,0.5261790683009054,38920177.757761374,"risk, threshold, challenge, crisis, proposal, difficulty, challenger, controversy, struggle"
49,Regulatory compliance challenges,True,deutsche cash ecb,,,,0.1032522266816309,0.12190187186462921,9016783.083552878,"bank, deutsche, cash, ecb, bafin, interbank, basel, postbank, fdic, fsb, frb, pfandbriefe, dbtc, overdraft, lender"
116,Regulatory capital constraints,True,capital investment horizon,,,,0.045985006094906924,0.05429091943905567,4015766.423441198,"capital, investment, horizon, tltro, stock, invest, wall, csrbb, cornerstone, invests, gcrg, lock, solid, slr, red"
10,Credit approval accuracy risk,True,credit assessment authority,,,,0.0433665100539439,0.05119946486105672,3787099.095236198,"credit, assessment, authority, approval, approved, valuation, associated, master, principal, audit, major, grade, professional, advanced, education"
32,Regulatory and compliance risk,True,management regulatory operational,,,,0.03390713137324065,0.04003151231501018,2961032.981116647,"management, regulatory, operational, corporate, supervisory, contractual, responsible, managing, manages, government, environmental, systemic, legislative, organizational, manager"
42,Aggregation and allocation risk,True,group collectively collection,,,,0.02082830352010659,0.024590357694604003,1818888.5690405483,"group, collectively, collection, aggregation, allocating, incorporating, aggregating, amortizing, grouped, assigning, integrating, combining, distributing, cascading, consolidating"
18,Accounting irregularities risk,True,asset report control,,,,0.02071375250888549,0.02445511622678661,1808885.088695596,"asset, report, control, account, accounting, finance, act, cover, reported, inventory, aggregate, allocated, calculate, claim, administration"
6,Asset valuation uncertainty,True,value total real,,,,0.018047991030158025,0.021307859023283488,1576090.1768697093,"value, total, real, significant, amounting, ensure, overall, maximum, full, consistent, zero, fixed, base, actual, final"
41,Lifetime credit losses,True,stage interest time,,,,0.016515657639717386,0.01949875219218965,1442274.972710568,"stage, year, interest, time, maturity, lifetime, area, date, culture, life, holder, generation, worth, ease, weather"
125,Brand reputation vulnerability,True,portfolio product category,,,,0.015495055805135214,0.018293807000570116,1353148.1262215446,"market, portfolio, product, category, identification, issuer, mark, version, brand, registered, marketing, tagline"
299,Geopolitical conflict exposure,True,exposure explore invasion,,,,0.014637557560617975,0.01728142552961554,1278264.7468133708,"exposure, explore, invasion, exploration, journey, pioneer"
304,Financial reporting inconsistencies,True,rounding factoring solve,,,,0.013643859166953643,0.01610824313782013,1191487.3168817775,"financial, rounding, factoring, solve, ﬁnding"
126,Operational disruption risk,True,loss transition segment,,,,0.008743792647250805,0.01032311578308733,763575.6066639026,"loss, transition, segment, step, breakdown, run, fall, split, break, exit, cut, disrupt, jump, interrupt, lose"
46,Commodity sector downturn,True,business estate treasury,,,,0.008087145639586834,0.009547863742902648,706232.1108298949,"business, estate, treasury, sector, commodity, agriculture, forestry, working, automotive, economically, farm, industrials, industrial, domestic, cultivating"
163,Model risk management,True,model plan matrix,,,,0.007406908806046118,0.008744761030400724,646828.5689344571,"model, plan, data, matrix, scale, outline, chart, heatmap, history, timeline, format, cluster, histogram, schedule, heatmaps"
73,Seasonal operational disruptions,True,december dec may,,,,0.0070352320292676376,0.008305951173470352,614370.8778888278,"december, dec, may, nd, june, beginning, september, january, april, february, march, rd, october, july, november"
114,Sovereign debt complexity,True,billion comprehensive bilateral,,,,0.006954509961660373,0.008210648907762805,607321.6025650629,"billion, comprehensive, bilateral, complementary, inclusive, twofold, mutually, coupled, tripartite, double, unified, lateral, consecutive, recurrent"
61,Data measurement accuracy risk,True,amount million measure,,,,0.0062933229222733285,0.007430036805300009,549581.6360441265,"amount, million, measure, unit, month, currency, measurement, number, quarter, supply, weighted, charge, quantitative, percentage, size"
12,Accounting estimate uncertainty,True,fair well expected,,,,0.005526888139096597,0.006525166879158005,482650.62245055777,"fair, well, expected, eligible, appropriate, preferred, recognized, supported, adequate, good, agreed, possible, accepted, best, anticipated"
232,Implementation and output risk,True,requirement output implementing,,,,0.00489069073271123,0.005774058092391321,427092.9439766238,"requirement, output, implementing, realizable, receivable, deployed, deliverable, deploying, durables"
