cluster,leading_importance,second_importance
0,418326.8595360056,
1,3455533.539391149,
2,1870269.4775184852,
3,5999445.966263382,
4,1949215.033584628,
5,660455.0507454083,
6,43377.757453703285,
7,214752.35923542824,
8,11662951.146515809,
9,3082970.7456037863,
10,7881570.668884453,
11,40803.54096024624,
12,3108894.180357684,
13,970339.8944946942,
14,59881425.123738945,
15,802697.1848252048,
16,8017687.345251633,
17,2664.00216550704,
18,5060081.542793248,
19,106989744.7155317,
20,3607273.147916013,
21,11960343.300784402,
22,57704027.48229281,
23,2299547.6442783508,
24,3989148.8697202876,
25,511510.6726838317,
26,2098498.2931194343,
27,7189.570630636035,
28,695355.349867968,
29,8589541.883369537,
30,4924798.748724945,
31,1145275.902934166,
32,2726792.3839296643,
33,291036.5015765107,
34,2764125.694032408,
35,963867.7769940126,
36,8328.057468209972,
37,8512741.86639558,
38,13625893.695391044,
39,122628.49288343315,
40,249755.2519127604,
41,13923453.537052251,
42,2486613.809185257,
43,1122049.722882086,
44,58100172.13185961,
45,577610.3670947226,
46,113168.82223982357,
47,77542308.68111609,
48,1413.6163399008958,
49,1024831.9486427662,
50,363145.8352970692,
51,219777.00301544342,
52,773772.6816586084,
53,1638206.8624234565,
54,87460.87089732582,
55,44468.85274067301,
56,7703163.302217357,
57,4657590.455563887,
58,882664.0338787662,
59,15899308.039988851,
60,4501921.577467434,
61,1055990.4848975586,
62,6984532.829856833,
63,47421.684841578324,
64,41655569.09731273,
65,1470220.7766542516,
66,407635.15239188034,
67,1357095.4102073086,
68,13344.656539423962,
69,128129.8585343639,
70,3802814.120894141,
71,7432.712223432578,
72,16678485.714898525,
73,2424.6155759733947,
74,6645846.518328506,
75,136125.02782829478,
76,148759.13953089362,
77,18241.192746615125,
78,33511171.479958855,
79,2758935.544252845,
80,1314551.4105690436,
81,46651.34308521599,
82,436247.83647913724,
83,88456.51572223403,
84,3653786.5873886435,
85,67041.72070210741,
86,37843.07696801535,
87,42159.61942766949,
88,3330108.729107692,
89,1752650.23214361,
90,709768.8954016721,
91,7126530.415432978,
92,1073576.1515476627,
93,354915.2171761995,
94,2402378.6976360916,
95,6565607.622006932,
96,8577456.694413003,
97,107308.30854872389,
98,3014991.328061586,
99,63642.34605225473,
100,1923914.212183523,
101,7182481.113280421,
102,1486456.0685283225,
103,191858.96436976528,
104,1584927.7437471019,
105,65714.86279068158,
106,2195353.1949260635,
107,13274.717494205948,
108,319677.5670593067,
109,260092.41109492842,
110,291741.6332608646,
111,796106.2425620476,
112,14965.195446993608,
113,203400.90947697405,
114,14203.00331575607,
115,2961295.6988907363,
116,87621.41357118264,
117,26191.239850229213,
118,6116590.34834084,
119,795959.9828307545,
120,11605780.11228687,
121,16382272.55266139,
122,147200.47674040156,
123,2920619.654389313,
124,207605.0741066173,
125,397261.3142844586,
126,565031.8975669134,
127,10263.61862625598,
128,553434.2398185838,
129,106693.65869846239,
130,273561.22467516805,
131,181892.3932855644,
132,22828.069171189414,
133,121519.30154983644,
134,81389.83635447585,
135,16931.98580045096,
136,19086.913628012524,
137,137450.69495626274,
138,10999487.112447206,
139,237431.08447909605,
140,20865.342309742533,
141,382874.1375455489,
142,4489163.28282101,
143,5113232.864310293,
144,858314.5936582092,
145,1320576.2056045863,
146,529274.9864925906,
147,361286.94403990265,
148,91136.45231888912,
149,216594.90505370338,
150,1359615.1019554303,
151,210814.13510276302,
152,36809.06159277032,
153,16283.016579828685,
154,9004.421753617293,
155,6980894.873555882,
156,9429.386934727892,
157,21156.722054695732,
158,1874880.2776760685,
159,6112.276621455718,
160,9138.66590784723,
161,4928.296033032082,
162,405574.770254875,
163,3311482.365609087,
164,1338929.2925674396,
165,16065.386603588366,
166,1733.2498377539273,
167,38064.33852506492,
168,20865.94879096514,
169,584103.5346007962,
170,589936.829403386,
171,78749.63789408351,
172,66887547.09228709,
173,66539.14716219582,
174,241130.45913083735,
175,4264078.317125331,
176,2744834.5082706176,
177,547686.6426642314,
178,29122.059523381573,
179,145035.56538142182,
180,51541.15511415714,
181,385894.7789272485,
182,8400.87018608783,
183,1267.5253100639138,
184,4032340.907563799,
185,354497.782894004,
186,625689.4438507302,
187,181473.15720220207,
188,2679385.7505880767,
189,3284389.2199230306,
190,14583193.402804205,
191,25411526.72180065,
192,337446.8573015624,
193,50842.71980018262,
194,77877.90125500491,
195,9624224.5934391,
196,47051.48457130794,
197,39080.992151652,
198,507301.37070862786,
199,333639.1658207956,
200,11661.545691796893,
201,183545.45290835845,
202,1704945.808886782,
203,8836.918520029163,
204,1327764.722741142,
205,17973.841052955002,
206,42263474.89836922,
207,530.6887645878513,
208,5685.745357136889,
209,43155.707188378925,
210,231.4593792327791,
211,977350.0476526826,
212,54714.42844789393,
213,3376.0554823700118,
214,9406.161299495345,
215,19290.838622443942,
216,123547.67608071753,
217,64619.3247118369,
218,303860.5314846241,
219,98130.93012399299,
220,292031.5849895042,
221,2527025.459311936,
222,540259.7208698564,
223,169095.3190952173,
224,1026922.6920943394,
225,745241.5176489044,
226,28480.554782344872,
227,28137.942484580526,
228,8320.144644201491,
229,80075529.78891006,
230,339294.26534807705,
231,1469.3750157945328,
232,21867.334728352518,
233,30178.81024749599,
234,3785791.6564218183,
235,2810.7379230961624,
236,2654.7666547982976,
237,957988.7917971042,
238,14821.28341617798,
239,37780.20339678665,
240,170933.73646465736,
241,573.8143337962384,
242,78337.14000854052,
243,254063.94534377387,
244,389016.55032379454,
245,2331.14550631473,
246,4229640.373382666,
247,2987801.141599468,
248,13488.554997962005,
249,526614.8867350735,
250,1458184.3842756904,
251,13972991.696284592,
252,1141.6846283865998,
253,1289438.8340530235,
254,220.92798293018896,
255,683662.4056187671,
256,72883.08744049676,
257,2368.425541448629,
258,166050.48098016815,
259,3427.198878966004,
260,66112.74614870093,
261,4470727.538242795,
262,587835.6717885969,
263,154242.1678906748,
264,7646475.288622203,
265,6746.337327747212,
266,85074.51441853806,
267,10621088.340655388,
268,26362.65821100486,
