cluster_id,document,topic_loading
13,27,2035.218487372711
13,11,2032.6455867528036
13,19,1983.0056176605865
13,25,1779.1819573319208
13,3,1775.659606247384
13,9,1674.6086302006254
13,17,1616.71904121473
13,4,1516.789606829553
13,12,1399.7891220528963
13,20,1337.3643871905967
13,1,1255.247490788715
13,23,1212.180465000397
13,31,1097.0341675555972
13,15,1030.216610293727
9,11,987.761176234536
9,27,936.4056796155504
9,19,929.3640707119546
9,3,916.2829373828316
13,21,853.68696633418
13,7,839.1815914853927
