cluster,leading_importance,second_importance
0,41388895.850916855,21273.900483459493
1,8979526.154106662,32482.46789818953
2,4139414.650683414,2978.8190563193016
3,4981725.529602769,27392.702144819985
4,1823754.3388402322,1735.2779974951661
5,2687781.4252378847,73252.84613274154
6,939365.5104113774,4079.093490852571
7,1175442.2872112028,1952.8010771221152
8,905625.8857324154,1170.0635163593417
9,1078450.5686217563,10225.185440743806
10,711504.1610114183,5258.5914377159925
11,705362.8235705358,14121.436628093908
12,787363.8566765748,24571.453286677417
13,566021.5836408437,2914.632648887773
14,672678.0907509266,6570.750157345063
15,451824.875839733,372.205519826366
16,437420.6361831012,2041.474100492354
17,484758.7710735962,882.0892142117713
18,524221.7712057684,3902.2593934298625
19,346222.6489132254,5166.564040294127
20,299361.4093862354,5112.668340876039
21,288451.78146042424,827.5024814238399
22,359217.5621427456,1731.220295018855
23,311981.6728531608,840.1924874025892
24,337134.5778055656,2857.509789374744
25,263315.01001681254,926.259466430514
26,369062.1384265698,3816.0882854684196
27,407837.93499573314,2253.712704050153
28,206618.13374272583,331.699034039666
29,261532.77608038852,6814.123240110586
30,233721.52891002322,3766.580942426614
31,232106.35254428405,198.37457621884352
32,260580.60222085667,1789.631182419372
33,188902.44612608533,513.0680475057277
35,228813.56666771945,5772.675996992087
36,209018.413745557,3735.824885825362
38,194479.6276399149,634.8849118482885
39,223406.89076717186,1278.31262855832
40,166581.9181905231,2624.228852672984
41,187293.46085994015,397.7646550026389
42,150433.55135095856,396.02767322999176
43,146273.59639773236,226.2525441899783
44,118605.08156497663,2714.3844716318645
45,147592.25631986238,3388.2234263362425
46,141898.28146627595,2933.7839228468647
47,126461.39932055712,2342.335386680269
48,148386.2399148359,783.4294288161514
49,109738.61713134895,4037.2145141374804
50,125599.52144918758,830.1104071386709
51,129136.66170006903,342.6697594210606
52,117009.42245439278,1231.2283543623316
53,143164.86183515683,2556.924664305187
54,93744.29663204002,12284.482021639256
55,167577.54070977774,1536.5646048771391
56,118845.61962212947,1059.7006175732931
57,120122.22014346815,789.9801097344589
58,114290.54335938396,2005.4541031131857
59,88633.23471720087,857.4266050885417
60,106383.13093469905,2430.372264054854
61,111457.72635988072,1248.8818493173296
62,99245.23237355349,187.44179734389792
63,88076.14804847138,698.0927123677043
64,90288.5793337873,600.6445650378391
65,141026.1050313452,549.6406751644229
66,169116.48434071266,716.9905743891438
67,68212.69181291609,681.1381367156072
68,66693.43605543724,849.8078905079323
69,84539.02624877753,868.7472146014021
70,70193.5585382091,755.9397767770527
71,68784.19600871232,217.8376547633437
72,69246.14447748382,54.58136768872263
73,66396.6781048135,784.2902971291534
74,51437.10323539802,705.1090597181442
75,71755.36199799637,1107.6153011097238
76,64940.89854395001,26.221849184140833
77,83213.00284589843,6014.591572278853
78,49060.21064715661,986.0863199768879
79,54256.886093932306,706.8300302651846
80,123758.38190821075,1288.26104237759
81,52214.01831171794,115.16033569089512
82,64479.35637658552,5867.773164560531
83,71262.90408021993,234.99087149830416
84,70391.37475423087,879.5866284608304
85,129380.10634078397,765.4793433726942
86,60515.4826500635,810.1829983136143
87,53138.94950387917,149.62680987474474
88,70991.12152663244,491.03790102128266
89,108652.95979473263,1060.577080145092
90,51656.259940184835,834.0966566503778
91,98165.56951870558,4130.992898750801
92,63590.78419861376,561.4494309921344
93,52733.94062341154,433.15634941202217
95,78428.38407930908,7440.525233796575
96,66182.10547053735,1022.0497985291872
97,59048.03709401204,208.68984141125114
98,47244.778940255164,310.44449482971345
99,46260.73007160173,889.821799952846
100,48353.20854958327,487.6470184016877
101,72414.49308625655,8950.200074484976
103,96699.64434116315,10365.122684048407
104,47244.67183620093,1802.9095121791472
105,43216.391642993265,689.8292500019709
106,68369.8508404399,226.63097364977233
107,62439.698158003135,3186.738673780392
108,46599.66542574866,670.5544063341885
109,39633.64738946516,457.2729802554382
110,46464.94248162339,219.27121869871908
111,53271.793196241066,1820.999209334897
112,46851.59343595938,166.73881574586005
113,43128.98292604305,176.64452948147016
114,71570.7760660836,193.4286492516048
117,39600.03887178583,275.9819505576956
119,28300.17872986242,328.9609131570401
121,59047.78092392664,8994.537410833196
122,60732.298760490645,352.8049285468776
123,57485.902020364396,584.5898207117543
124,38119.15111394045,147.00755255544667
125,49869.14444404797,646.6514668659394
127,37810.38610855851,647.5399622744533
128,30939.718729138396,146.63347525831514
129,34641.534467285965,481.99521105208083
130,55651.76660271691,2287.997484301296
131,44496.28925682474,121.67986393895383
132,34422.20853729052,186.65268425586407
133,41644.09385954682,874.2722408453999
134,33211.60317398179,343.97698432850507
136,34809.777215604394,308.9590758115581
137,24999.97945260462,121.9928906805888
139,35135.71454151939,789.1490137521052
141,34227.620554962086,329.06274709363953
143,35914.35370995179,1416.061617219091
145,38937.10397816899,1694.9823322389877
147,25218.804817279102,506.9437920031838
148,20481.996150360847,870.8141364260731
149,25790.777988899583,910.2403230292925
150,25286.990651792898,437.0803659501127
151,20784.943740305465,138.6034506083619
153,22038.979584964425,213.72301498142852
154,30630.556190965417,953.1559791868448
156,25090.953870003876,827.6484963743038
157,17845.961116948572,257.3089342595013
158,19771.439508329404,221.32141367122912
160,17764.893117023887,2212.997156491029
161,27225.7935855172,161.47612221929762
162,27283.782814674778,856.1861730353853
164,18702.537617204118,824.2000548727638
165,24244.690631441717,355.72919658220894
166,27214.551849934403,874.1289578725241
168,32785.977663475845,637.5115587449449
169,14251.158224824858,818.2682157427225
170,21228.775693320124,5025.507359837047
172,20773.694414121524,150.5378285923039
177,24768.326515352488,1059.3815556223067
179,20641.32360152015,238.84687571257027
184,11331.983364333293,223.3356534511899
187,16391.77474159169,152.3346069754409
191,15231.925217425143,289.5734650671448
193,26678.376369543977,2200.5885992422805
196,8911.56433291112,206.69840100792504
