topic,topic_distribution
0,"{'also': np.float64(0.916510272983914), 'pp': np.float64(0.2248183603834651), 'asia': np.float64(0.1549051840524188), 'aim': np.float64(0.1524126357407127), 'ag': np.float64(0.14176358619099536), 'ia': np.float64(0.09157720728744015), 'remaining': np.float64(0.07869382486129908), 'ad': np.float64(0.0748240628322835), 'iaa': np.float64(0.0745849744114236), 'iaaa': np.float64(0.0745849744114236), 'ama': np.float64(0.06332961498047236), 'association': np.float64(0.04443017764826897), 'ii': np.float64(0.039284618134889794), 'afc': np.float64(0.031725384991293674), 'b': np.float64(0.024781588094048037), 'anti': np.float64(0.021747813752930452), 'alpha': np.float64(0.014916994882284722), 'alia': np.float64(0.01290190186357207), 'ca': np.float64(0.011249595057707755), 'ab': np.float64(0.011002199473730913), 'aa': np.float64(0.01098767847041109), 'bbb': np.float64(0.01071528578599175), 'sa': np.float64(0.009349892667866587), 'bb': np.float64(0.008361914985890555), 'ccc': np.float64(0.006008544185789352), 'ai': np.float64(0.005144753875544582), 'aml': np.float64(0.005054814272792989), 'aaa': np.float64(0.00457318595962881), 'aside': np.float64(0.004009856815369455), 'ooo': np.float64(0.003782790453448456), 'asf': np.float64(0.003667399824576971), 'ba': np.float64(0.003004272092894676), 'baa': np.float64(0.003004272092894676), 'caa': np.float64(0.003004272092894676), 'rr': np.float64(0.001776004597852742), 'alm': np.float64(0.0011766854000506003), 'apms': np.float64(0.0010895707376768994), 'amc': np.float64(0.0007844569333670668), 'ima': np.float64(0.0007844569333670668), 'eea': np.float64(0.000699412099288948), 'ap': np.float64(0.0006148496752117101), 'adj': np.float64(0.0006073672113585488), 'apm': np.float64(0.0005447853688384497), 'reas': np.float64(0.0003922284666835334), 'va': np.float64(0.0003922284666835334), 'aiia': np.float64(0.00021730640876125462), 'adrs': np.float64(0.0002171697954060014), 'ago': np.float64(0.00016078825654637662), 'adr': np.float64(7.238993180200043e-05), 'afm': np.float64(7.238993180200043e-05)}"
1,"{'annual': np.float64(0.7834157097325474), 'basis': np.float64(0.35348154179079355), 'term': np.float64(0.326386759665644), 'line': np.float64(0.29311514962862084), 'amt': np.float64(0.11613082956755302), 'definition': np.float64(0.11202855554052502), 'indicator': np.float64(0.10154171782369975), 'option': np.float64(0.07266413789498478), 'classification': np.float64(0.07215231311143798), 'scheme': np.float64(0.059230608192363546), 'define': np.float64(0.05838523605474003), 'modification': np.float64(0.0581156776747763), 'approximately': np.float64(0.04744909934374959), 'code': np.float64(0.04538429057574696), 'mentioned': np.float64(0.04421720106109811), 'currently': np.float64(0.0432950836336515), 'coupon': np.float64(0.0302252056228392), 'binding': np.float64(0.023375999205450013), 'clause': np.float64(0.019481530564420715), 'etc': np.float64(0.0179285056966575), 'instance': np.float64(0.017255432616462094), 'band': np.float64(0.016458439524241926), 'irc': np.float64(0.015113736455482413), 'uniform': np.float64(0.010900293011005162), 'assign': np.float64(0.0108600901139844), 'distinct': np.float64(0.010225367280138974), 'title': np.float64(0.008615299135550552), 'assignment': np.float64(0.007300102634966899), 'implicit': np.float64(0.006482179013843363), 'implicitly': np.float64(0.0053865827148242605), 'package': np.float64(0.005186162344200048), 'bullet': np.float64(0.004838784565314708), 'interface': np.float64(0.004754932991325036), 'withstanding': np.float64(0.0036073572529020602), 'avatar': np.float64(0.002459781514479085), 'attribute': np.float64(0.0016433944485286553), 'alternate': np.float64(0.0012298907572395425), 'token': np.float64(0.0012298907572395425), 'symbol': np.float64(0.0007778712960604083), 'configured': np.float64(0.0005477981495095518), 'designation': np.float64(0.0005477981495095518), 'abbreviation': np.float64(0.00035348808065330505), 'app': np.float64(0.00019142042084242575), 'anking': np.float64(0.00012341493410239092), 'unfold': np.float64(0.00010641038688352399), 'bundle': np.float64(6.319615158094109e-05)}"
2,"{'p': np.float64(0.8557634846128024), 'ccp': np.float64(0.3686081687368117), 'ib': np.float64(0.15702305584592738), 'ibb': np.float64(0.14177237259108139), 'ibbb': np.float64(0.14177237259108139), 'iccc': np.float64(0.14177237259108139), 'bottom': np.float64(0.11455745819831294), 'icaap': np.float64(0.09560201339955056), 'ccf': np.float64(0.07775812826600531), 'avg': np.float64(0.0642656389936256), 'ccps': np.float64(0.06014785433302816), 'abcp': np.float64(0.051137067020504655), 'benchmark': np.float64(0.04982783448935871), 'rca': np.float64(0.040172121099193284), 'npa': np.float64(0.03609312312503864), 'pb': np.float64(0.025989015217358545), 'bcbs': np.float64(0.022986905614420024), 'cp': np.float64(0.02223884026340504), 'ccr': np.float64(0.018961679323938302), 'apac': np.float64(0.018310945170691956), 'cb': np.float64(0.01525068325484603), 'cdp': np.float64(0.00762572673402392), 'rcp': np.float64(0.007625341627423015), 'ibm': np.float64(0.0038126708137115077), 'kcp': np.float64(0.0034330366738690174), 'bp': np.float64(0.0013291365284736221), 'basic': np.float64(0.00032691743384571253), 'cbes': np.float64(0.00032295439747454294), 'ccrc': np.float64(0.00032295439747454294), 'fcp': np.float64(0.00032295439747454294), 'uvcpfcnqpg': np.float64(0.00032295439747454294), 'cbr': np.float64(0.0002277425778415121), 'prb': np.float64(2.9409913787981412e-18)}"
3,"{'activity': np.float64(0.7654168004270823), 'liability': np.float64(0.5237219934730386), 'available': np.float64(0.23577336647068392), 'adequacy': np.float64(0.1995413872809188), 'capacity': np.float64(0.13200680366329032), 'facility': np.float64(0.07515181618630086), 'ability': np.float64(0.06067921379720509), 'allocation': np.float64(0.051139646505279066), 'allows': np.float64(0.05084376826704328), 'access': np.float64(0.04089986659025936), 'enables': np.float64(0.03826752761987876), 'dependent': np.float64(0.03704005337653705), 'readily': np.float64(0.034036402276925296), 'willing': np.float64(0.03311732518484081), 'enable': np.float64(0.03033941605401783), 'allow': np.float64(0.030209945762998895), 'capability': np.float64(0.030105452106623486), 'able': np.float64(0.022333050083149033), 'inability': np.float64(0.021662951780122324), 'allowed': np.float64(0.01877572575269853), 'authorization': np.float64(0.018581133374425806), 'allowing': np.float64(0.018559139045935178), 'assist': np.float64(0.01613357674229432), 'unable': np.float64(0.014058547229476765), 'availability': np.float64(0.012709173855503622), 'enabling': np.float64(0.01123781181007392), 'optionality': np.float64(0.008516201091289448), 'mobility': np.float64(0.007252597766766594), 'permitted': np.float64(0.005945411756876136), 'utility': np.float64(0.0055461483015956424), 'optionalities': np.float64(0.0028635933511796255), 'equipment': np.float64(0.0028055173243526424), 'disability': np.float64(0.0027449700348654584), 'functionality': np.float64(0.002610220690463849), 'equip': np.float64(0.0014505195533533188), 'permission': np.float64(0.0014505195533533188), 'disabled': np.float64(0.0014130737978263073), 'preparedness': np.float64(0.0013051103452319246), 'enabled': np.float64(0.0006816588228037068), 'willingness': np.float64(0.0005110290712831999), 'achievement': np.float64(0.00043877160253614665), 'accessible': np.float64(0.0004296005105333703), 'possibility': np.float64(0.000258890096302428), 'portability': np.float64(0.00011427243654623776), 'flexibility': np.float64(6.904549536004308e-05), 'ﬂexibility': np.float64(6.190936635592767e-05), 'enablers': np.float64(2.6497408738619208e-05), 'equipped': np.float64(2.6497408738619208e-05), 'entitlement': np.float64(1.5038413494761259e-05)}"
4,"{'revocable': np.float64(0.4451600592360839), 'deemed': np.float64(0.40189212477739583), 'forborne': np.float64(0.3943957659670682), 'liquidation': np.float64(0.3475870166913165), 'cleared': np.float64(0.273020024064787), 'encumbered': np.float64(0.2540102195595519), 'deducted': np.float64(0.22889939142042695), 'termination': np.float64(0.2282980163081143), 'executed': np.float64(0.1929208221882764), 'adopted': np.float64(0.11857745561629271), 'excluded': np.float64(0.11181042267419422), 'removal': np.float64(0.0893908680800183), 'terminate': np.float64(0.08858156823452416), 'amended': np.float64(0.08172333757570723), 'expired': np.float64(0.06737578217627495), 'replaced': np.float64(0.06709084662143104), 'withdrawn': np.float64(0.06684174700775401), 'exempt': np.float64(0.059041420651932006), 'deminimis': np.float64(0.0445088382773298), 'enforced': np.float64(0.0384206110214547), 'grandfathered': np.float64(0.037281791885908355), 'cancelled': np.float64(0.036854341457058834), 'foreclosed': np.float64(0.036854341457058834), 'restated': np.float64(0.03653865218254054), 'reclassified': np.float64(0.035752033352137856), 'discontinued': np.float64(0.03005474549448691), 'decreed': np.float64(0.029520710325966003), 'downgraded': np.float64(0.029520710325966003), 'liquidating': np.float64(0.029520710325966003), 'precluded': np.float64(0.029520710325966003), 'supersedes': np.float64(0.029520710325966003), 'eliminated': np.float64(0.023964268210323783), 'decommissioned': np.float64(0.02182696870981537), 'elimination': np.float64(0.015027372747243455), 'abolished': np.float64(0.014920788007571946), 'liquidated': np.float64(0.008049425969499046), 'amend': np.float64(0.007159706447629728), 'ceased': np.float64(0.004767164713477159), 'declared': np.float64(0.0015662695643958785), 'restructured': np.float64(0.0015662695643958785), 'canceled': np.float64(0.0007831347821979392), 'eliminate': np.float64(0.0007831347821979392), 'opposed': np.float64(0.0007831347821979392), 'repudiation': np.float64(0.0007831347821979392), 'eliminates': np.float64(0.0006810235304967371), 'promulgated': np.float64(0.00010734405302173431), 'divestment': np.float64(0.00010066593247418024), 'terminated': np.float64(8.009646600460655e-06), 'discontinuing': np.float64(1.0094870881693107e-17), 'reintroduced': np.float64(1.0094870881693107e-17)}"
5,"{'back': np.float64(0.5050737184237105), 'adverse': np.float64(0.4211307430287356), 'beyond': np.float64(0.3179636825909302), 'among': np.float64(0.31061105121877636), 'unencumbered': np.float64(0.3087340273906298), 'along': np.float64(0.25862414755721985), 'border': np.float64(0.2221096498505017), 'aforementioned': np.float64(0.21246061722326892), 'rising': np.float64(0.17041619856087084), 'uncleared': np.float64(0.1434807395841344), 'backed': np.float64(0.12285821362731449), 'facing': np.float64(0.12205490787374286), 'laid': np.float64(0.10012105484196426), 'amongst': np.float64(0.0631479742782136), 'offshore': np.float64(0.05792119905368361), 'arching': np.float64(0.04730501140940567), 'absence': np.float64(0.044932940711246656), 'aware': np.float64(0.04258320226035977), 'thereunder': np.float64(0.04207764383224054), 'afore': np.float64(0.040128619016936574), 'backward': np.float64(0.03683985233732625), 'abroad': np.float64(0.03418345597713001), 'apart': np.float64(0.033381152525650395), 'amid': np.float64(0.030196340006381255), 'vacant': np.float64(0.027265162670339124), 'alongside': np.float64(0.02134927045133926), 'affair': np.float64(0.01718147593070011), 'parental': np.float64(0.016227750298255444), 'upper': np.float64(0.009303489593768604), 'ahead': np.float64(0.009204363568514626), 'away': np.float64(0.008582356930757878), 'behind': np.float64(0.007856001062249493), 'bottomed': np.float64(0.00767311842042568), 'robustly': np.float64(0.00767311842042568), 'amidst': np.float64(0.006642636713519146), 'transparently': np.float64(0.005251816654025425), 'abrupt': np.float64(0.003850596061865416), 'openly': np.float64(0.003850596061865416), 'abreast': np.float64(0.00385059606186537), 'boast': np.float64(0.0011941997016691934), 'embark': np.float64(0.0011941997016691934), 'forefront': np.float64(0.0011941997016691934), 'alarming': np.float64(0.0009092385103321958), 'averting': np.float64(0.0007573735127159068), 'backing': np.float64(0.0007440335307524436)}"
6,"{'value': np.float64(0.7738379041282747), 'total': np.float64(0.5708020835040064), 'real': np.float64(0.14477776146529572), 'significant': np.float64(0.11149632813158412), 'amounting': np.float64(0.10256479024414107), 'ensure': np.float64(0.10018118860186727), 'overall': np.float64(0.08594716502059316), 'maximum': np.float64(0.07328479409003692), 'full': np.float64(0.05673369850762693), 'consistent': np.float64(0.03221489470981751), 'zero': np.float64(0.0268972188761961), 'fixed': np.float64(0.024642348143480226), 'base': np.float64(0.023202109473209154), 'actual': np.float64(0.022056546652810018), 'final': np.float64(0.021062280684854356), 'equal': np.float64(0.019721546925763302), 'relative': np.float64(0.018637577812178212), 'integral': np.float64(0.018233597443765896), 'extreme': np.float64(0.014668185529814533), 'constant': np.float64(0.007977878456116898), 'highest': np.float64(0.007757165789131403), 'whole': np.float64(0.007020268316621504), 'complete': np.float64(0.006279890670370193), 'always': np.float64(0.0041136451709248975), 'proper': np.float64(0.004032528701248243), 'essential': np.float64(0.0039870273541945875), 'absolute': np.float64(0.003388729007236389), 'explicit': np.float64(0.003239655972520905), 'almost': np.float64(0.0026182580414583867), 'true': np.float64(0.002567196590654163), 'perfect': np.float64(0.0024005892708441464), 'exists': np.float64(0.0023119405044318827), 'entirety': np.float64(0.001894014487449531), 'normalized': np.float64(0.0011971943176030007), 'ultimate': np.float64(0.001126771857823128), 'totaling': np.float64(0.00039275738941041085), 'unconditionally': np.float64(0.00039275738941041085), 'existence': np.float64(0.00019637869470520543), 'pure': np.float64(0.00019637869470520543), 'lasting': np.float64(0.0001486059646433418), 'ever': np.float64(0.0001392676587878271), 'universal': np.float64(6.399206292514702e-05), 'truly': np.float64(5.529592998128235e-05), 'instant': np.float64(4.3164384195454126e-05), 'utmost': np.float64(1.3137358034532585e-05), 'unquestionably': np.float64(1.2025670994246032e-05)}"
7,"{'reflected': np.float64(0.482497810588111), 'take': np.float64(0.434886607199732), 'reflect': np.float64(0.38065571458928804), 'reflects': np.float64(0.3572114273756746), 'apply': np.float64(0.3234210261644306), 'capture': np.float64(0.2824700723333855), 'gain': np.float64(0.1844272873809885), 'captured': np.float64(0.14184118290353595), 'absorbing': np.float64(0.13024458517679136), 'incorporate': np.float64(0.08692512628722801), 'receive': np.float64(0.08405267176824711), 'obtain': np.float64(0.07136844878293512), 'recover': np.float64(0.07044298927656666), 'collect': np.float64(0.06530576195201648), 'accept': np.float64(0.06161251476276469), 'comply': np.float64(0.05672145003262648), 'understand': np.float64(0.04927773607784125), 'employ': np.float64(0.045281194374844035), 'absorb': np.float64(0.04424235935081584), 'adhered': np.float64(0.04113535399064291), 'adhering': np.float64(0.03867690354512539), 'absorption': np.float64(0.036450719861042064), 'adheres': np.float64(0.036450719861042064), 'deduct': np.float64(0.020451543614604363), 'acquires': np.float64(0.018225359930521032), 'undergo': np.float64(0.018225359930521032), 'gained': np.float64(0.014217272865307032), 'adhere': np.float64(0.013809487051816005), 'attract': np.float64(0.009897168491791975), 'supplement': np.float64(0.009162618655284902), 'acquire': np.float64(0.007101850194588789), 'encompass': np.float64(0.005620401020727002), 'adapt': np.float64(0.00543133521662793), 'embrace': np.float64(0.004684634129600834), 'enrich': np.float64(0.004684634129600834), 'absorbs': np.float64(0.004362797372875588), 'acquiring': np.float64(0.002226183684083325), 'consume': np.float64(0.002226183684083325), 'adopts': np.float64(0.0011680336525603532), 'learn': np.float64(0.0011680336525603532), 'regain': np.float64(0.0011680336525603532), 'suffer': np.float64(0.0011680336525603532), 'deepen': np.float64(0.0007204214701089105), 'realize': np.float64(0.00035644522753977066), 'encapsulates': np.float64(0.00029437840841321593), 'accrue': np.float64(0.00026947898098727635), 'acknowledge': np.float64(0.00017822261376988533), 'listen': np.float64(0.00015794427020066661), 'adapting': np.float64(0.0001508166227406953), 'attend': np.float64(0.0001508166227406953)}"
8,"{'use': np.float64(0.7131533326541899), 'impairment': np.float64(0.46755194529774374), 'usage': np.float64(0.26927701511590707), 'threat': np.float64(0.2295598950907976), 'breach': np.float64(0.22691192848760985), 'crime': np.float64(0.15782825921053945), 'attack': np.float64(0.13646024363436796), 'damage': np.float64(0.1089289171969675), 'waste': np.float64(0.10267567413940389), 'fraud': np.float64(0.10105802561402388), 'undue': np.float64(0.0778173675076201), 'utilization': np.float64(0.07529209676360724), 'excessive': np.float64(0.03740196793258401), 'corruption': np.float64(0.03365581933198656), 'criminal': np.float64(0.031037182485638325), 'breached': np.float64(0.029969015222513905), 'inappropriate': np.float64(0.026741693371384618), 'violation': np.float64(0.02589950579183468), 'misused': np.float64(0.022283488050001892), 'harmful': np.float64(0.02145490398564841), 'misuse': np.float64(0.018288976539756766), 'misconduct': np.float64(0.01737137701568406), 'exceed': np.float64(0.015988445673223682), 'destruction': np.float64(0.01370973624409074), 'exploit': np.float64(0.008598501119701816), 'exploited': np.float64(0.008598501119701816), 'exploiting': np.float64(0.008598501119701816), 'accident': np.float64(0.0067878100849441915), 'dispute': np.float64(0.005170875693434584), 'theft': np.float64(0.005111235124388925), 'suffering': np.float64(0.004721668283196704), 'utilize': np.float64(0.004403686034318749), 'abuse': np.float64(0.004342291629081156), 'combat': np.float64(0.004110425202546742), 'impairs': np.float64(0.002585437846717292), 'unfairly': np.float64(0.002585437846717292), 'appropriation': np.float64(0.0014652478174865431), 'defraud': np.float64(0.0010305798951154924), 'manipulate': np.float64(0.0010305798951154924), 'steal': np.float64(0.0010305798951154924), 'suffers': np.float64(0.0010305798951154924), 'manipulation': np.float64(0.0008550256337682059), 'aggression': np.float64(0.0002587646591167515), 'injustice': np.float64(0.0002587646591167515), 'mismanagement': np.float64(8.500353410292507e-05), 'violence': np.float64(5.9217589761204254e-05)}"
9,"{'transaction': np.float64(0.8417742522363584), 'legal': np.float64(0.4914563150969032), 'irrevocable': np.float64(0.11204539635546544), 'disposal': np.float64(0.10860346339077766), 'contract': np.float64(0.10115682564506796), 'legally': np.float64(0.07582751730235544), 'derecognition': np.float64(0.05601385931331288), 'solvency': np.float64(0.05350739652849458), 'cancellation': np.float64(0.028735510171231302), 'closing': np.float64(0.025702155220392455), 'finma': np.float64(0.02142627026346089), 'closure': np.float64(0.018722911801459862), 'bundesbank': np.float64(0.016392539322329397), 'legislation': np.float64(0.012620653572944522), 'restructurings': np.float64(0.011238277849204486), 'insolvency': np.float64(0.00921001687202373), 'bundesanstalt': np.float64(0.008196269661164698), 'contractually': np.float64(0.008196269661164698), 'discontinuance': np.float64(0.008196269661164698), 'elapses': np.float64(0.008196269661164698), 'finanzdienstleistungsaufsicht': np.float64(0.008196269661164698), 'kreditwesengesetz': np.float64(0.008196269661164698), 'sanierungs': np.float64(0.008196269661164698), 'abwicklungsgesetz': np.float64(0.008196269661164582), 'completion': np.float64(0.00642055019377804), 'bankruptcy': np.float64(0.004258635481346076), 'redundancy': np.float64(0.0021103686369349345), 'pfandbrief': np.float64(0.0020530758883240538), 'cessation': np.float64(0.0020045641587249597), 'finalize': np.float64(0.0020045641587249597), 'transacting': np.float64(0.0020045641587249597), 'finalization': np.float64(0.0010137472108590318), 'restructuring²': np.float64(0.0010137472108590318), 'schrems': np.float64(0.0002625986085286519), 'halt': np.float64(0.000192546380517153), 'gaap': np.float64(0.00017256366793015875), 'aktiengesellschaft': np.float64(0.00011926159949386111), 'kreditanstalt': np.float64(6.595953105756353e-05)}"
