topic,llm_label,llm_ok,heuristic_label,peak_bank,peak_year,peak_value,importance_norm,importance_topN_norm,importance_raw,top_words_pretty
159,threshold challenge proposal,False,threshold challenge proposal,,,,0.4459134517055087,0.527229883928512,38918457.05990723,"risk, threshold, challenge, proposal, difficulty, challenger, controversy, struggle"
48,deutsche counterparty cash,False,deutsche counterparty cash,,,,0.10384665150848102,0.12278404657175473,9063533.365252906,"bank, deutsche, counterparty, cash, ecb, bafin, interbank, basel, postbank, fdic, fsb, frb, pfandbriefe, dbtc, overdraft, lender, kfw, eurosystem, loans¹, realkredit, akbank, paribas, danskebank, mobilepay, kpmg"
138,capital top covered,False,capital top covered,,,,0.04430871992648589,0.05238882382783589,3867178.725474394,"capital, top, covered, covering, capitalization, cap, capitalized, recapitalize, recapitalized, cope, cent, capped, cpf, fic, caput, capitalised, capitalise"
10,credit assessment authority,False,credit assessment authority,,,,0.043391196801767756,0.05130398189562537,3787099.095236198,"credit, assessment, authority, approval, approved, valuation, associated, master, principal, audit, major, grade, professional, advanced, education, scientific, eur, authorized, degree, course, qualification, civil, qualified, earning, secondary"
31,management regulatory operational,False,management regulatory operational,,,,0.033931094363574325,0.040118742492409265,2961439.7904653163,"management, regulatory, operational, corporate, supervisory, contractual, responsible, managing, manages, government, environmental, systemic, legislative, organizational, automated, manager, administrative, executive, statutory, overseeing, political, systematic, institutional, advising, fiscal"
41,group combination consolidation,False,group combination consolidation,,,,0.02084610108646351,0.024647579960060683,1819407.0775326488,"group, combination, consolidation, sum, collectively, collection, aggregation, quantification, collaboration, grouped, collective, pooled, granularity, match, combining, cluster, averaging, filtering, conglomerate, array, indexation, combine, merger, groep, computed"
18,asset report control,False,asset report control,,,,0.02066953548199376,0.02443881598850005,1803996.7756690695,"asset, report, control, account, accounting, finance, act, reported, inventory, aggregate, allocated, calculate, administration, accountable, accountability, record, registration, verify, analytics, ownership, check, agenda, count, ledger, owns"
6,value total real,False,value total real,,,,0.018058287329797786,0.02135138264257792,1576092.1257974233,"value, total, real, significant, amounting, ensure, overall, maximum, full, consistent, zero, fixed, base, actual, final, equal, relative, integral, extreme, constant, highest, whole, complete, always, proper"
40,stage interest time,False,stage interest time,,,,0.016525072908124872,0.019538572424621124,1442276.159032385,"stage, year, interest, time, maturity, lifetime, area, date, culture, life, holder, generation, worth, ease, weather, old, ing, winter, expiry, grown, race, cient, height, ear, death"
125,portfolio product category,False,portfolio product category,,,,0.015503876494987865,0.01833115142328741,1353148.1262215443,"market, portfolio, product, category, identification, issuer, mark, version, brand, registered, marketing, tagline"
302,exposure explore invasion,False,exposure explore invasion,,,,0.01464589403839022,0.017316707949392343,1278265.089462874,"exposure, explore, invasion, extraction, exploration, journey, pioneer"
307,multiplier rounding factoring,False,multiplier rounding factoring,,,,0.013651866882457432,0.016141410769996315,1191508.336472832,"financial, multiplier, rounding, factoring, solve, ﬁnding"
126,loss transition segment,False,loss transition segment,,,,0.008747185870349925,0.010342315921367256,763437.3360754015,"loss, transition, segment, step, breakdown, run, split, break, exit, cut, jump, lose, drop, fails, miss, unlock, stop, suspend"
45,business estate treasury,False,business estate treasury,,,,0.00809174931474471,0.009567354462338518,706232.1108298947,"business, estate, treasury, sector, commodity, agriculture, forestry, working, automotive, economically, farm, industrials, industrial, domestic, cultivating, grazing, livestock, agri, gri, cattle, farming, grain, terra, artisan"
164,model plan matrix,False,model plan matrix,,,,0.007411040523158074,0.0087625121419181,646821.1740789625,"model, plan, data, matrix, scale, outline, chart, heatmap, history, timeline, format, histogram, schedule, heatmaps"
72,december dec may,False,december dec may,,,,0.007039548459247678,0.0083232750725121,614398.070711941,"december, dec, may, nd, june, beginning, september, january, april, february, march, rd, october, july, november, august, pit, spr, calendar, th, friday, auspex, preliminary, begin, prv"
113,billion comprehensive bilateral,False,billion comprehensive bilateral,,,,0.006958473971768688,0.008227415904192277,607322.0474443387,"billion, comprehensive, bilateral, complementary, inclusive, twofold, mutually, doubling, coupled, tripartite, double, unified, lateral, consecutive, recurrent"
60,amount million measure,False,amount million measure,,,,0.006294880849208841,0.00744281045296663,549404.9329307105,"amount, million, measure, unit, month, currency, measurement, number, quarter, supply, weighted, charge, quantitative, percentage, size, monthly, volume, extent, weight, portion, money, quantify, quantifies, monetary, much"
238,requirement required necessary,False,requirement required necessary,,,,0.005074268241797748,0.005999607874381852,442872.24330984894,"requirement, required, necessary, reliance, dependency, import, needing, overreliance"
96,liquidity metric range,False,liquidity metric range,,,,0.00485775233626468,0.005743608295750019,423975.1570253995,"liquidity, metric, range, frequency, ratingband, cable, dimension, channel, bps, boundary, stream, interval, budget, elasticity, timing, space, length, transmission, bandwidth, bottleneck, signal, telecom, bit, spanning, webcast"
