quarter,topic,mean_abs_contrib,share,cum_share,topic_id,topic_num,topic_label,top_words,semantic_label,one_sentence_interpretation
2024Q1,topic_loading_91,0.0002356937090088,0.0982585794070307,0.0982585794070307,topic_loading_91,91,"framework, profile, margin","['framework', 'profile', 'margin', 'overlay', 'underlying', 'overview', 'cover', 'reflection', 'landscape', 'legacy', 'baseline', 'backstop']",Risk Management Framework,This topic covers the conceptual and structural elements of risk management frameworks including margin reflections and baseline risk profiles.
2024Q1,topic_loading_96,0.0001220616396825,0.0508863955925391,0.1491449749995699,topic_loading_96,96,"liquidity, metric, range","['liquidity', 'metric', 'range', 'frequency', 'ratingband', 'cable', 'dimension', 'channel', 'bps', 'boundary', 'stream', 'interval']",Liquidity Metrics and Measurement,"This topic focuses on liquidity risk indicators, measurement intervals, and rating boundaries relevant for financial stability assessments."
2024Q1,topic_loading_282,0.0001070384166955,0.0446233495612101,0.19376832456078,topic_loading_282,282,,[],Undefined Topic,No terms available to determine the semantic content of this topic.
2024Q1,topic_loading_19,0.0001047732904919,0.0436790388968253,0.2374473634576054,topic_loading_19,19,"amortized, taking, amounted","['amortized', 'taking', 'amounted', 'deferred', 'acquisition', 'incremental', 'aggregated', 'accumulated', 'allocating', 'attributable', 'aggregating', 'amortizing']",Amortization and Deferred Costs,"This topic highlights amortized financial amounts, deferred acquisition costs, and the allocation of incremental expenses in banking."
2024Q1,topic_loading_14,0.0001029433569718,0.0429161561332222,0.2803635195908276,topic_loading_14,14,"allowance, agreement, adjustment","['allowance', 'agreement', 'adjustment', 'provision', 'support', 'compliance', 'provided', 'settlement', 'meeting', 'compensation', 'alignment', 'arrangement']",Provision Adjustments and Settlements,"This topic relates to allowances, provisions, and financial settlement adjustments supporting compliance and compensation arrangements."
2024Q1,topic_loading_41,9.602682594798304e-05,0.0400327167928781,0.3203962363837058,topic_loading_41,41,"group, combination, consolidation","['group', 'combination', 'consolidation', 'sum', 'collectively', 'collection', 'aggregation', 'quantification', 'collaboration', 'grouped', 'collective', 'pooled']",Financial Consolidation and Aggregation,This topic concerns the grouping and pooling of financial data for consolidation and quantification of collective financial positions.
2024Q1,topic_loading_44,9.298693630685448e-05,0.0387654142460791,0.3591616506297849,topic_loading_44,44,"similar, wrong, belief","['similar', 'wrong', 'belief', 'consensus', 'compare', 'believe', 'agree', 'answer']",Belief and Consensus Analysis,"This topic covers the evaluation of market beliefs, consensus opinions, and comparative assessments in financial decision-making."
2024Q1,topic_loading_206,9.021600624007611e-05,0.0376102385176186,0.3967718891474035,topic_loading_206,206,"sovereign, kingdom, globe","['sovereign', 'kingdom', 'globe', 'orps', 'triangle', 'dominates', 'omicron', 'krone', 'coronavirus', 'horisont', 'ruling', 'corona']",Sovereign and Global Risk Factors,"This topic references sovereign risks, global influences, and geopolitical factors impacting financial risk landscapes."
2024Q1,topic_loading_38,8.156889970164137e-05,0.0340053378691423,0.4307772270165458,topic_loading_38,38,"wealth, investor, excess","['wealth', 'investor', 'excess', 'premium', 'sophisticated', 'affordability', 'preferential', 'robust', 'owned', 'owed', 'comfortable', 'expensive']",Wealth and Investor Risk Profiles,"This topic emphasizes investor characteristics, wealth premiums, affordability, and preferential risk exposures in financial portfolios."
2024Q1,topic_loading_95,6.638522888349852e-05,0.0276754025855554,0.4584526296021012,topic_loading_95,95,"based, managed, stable","['based', 'managed', 'stable', 'moderately', 'controlled', 'balanced', 'compensated', 'matched', 'composed', 'stabilized', 'stabilizing', 'proportionate']",Risk Management Stability Controls,This topic highlights practices for managing and stabilizing risk exposures through balanced and controlled financial measures.
2024Q1,topic_loading_59,6.161506799768101e-05,0.0256867655779983,0.4841393951800996,topic_loading_59,59,"loan, debt, lending","['loan', 'debt', 'lending', 'borrower', 'mortgage', 'financing', 'payment', 'forbearance', 'repayment', 'collateralization', 'securitization', 'prepayment']",Loan and Debt Financing Risks,"This topic covers credit risk aspects related to loans, mortgages, borrower repayments, collateral, and debt securitization."
2024Q1,topic_loading_264,5.581704815431016e-05,0.0232696234507048,0.5074090186308045,topic_loading_264,264,"sustainable, maintains, enforceable","['sustainable', 'maintains', 'enforceable', 'resilient', 'renewable', 'sustainably', 'permanently', 'perpetual', 'permanent', 'sustain', 'enduring', 'durables']",Sustainable Financial Practices,"This topic concerns sustainability and resilience in finance through enforceable, renewable, and enduring resource management."
2024Q1,topic_loading_62,5.538674578686732e-05,0.0230902342785533,0.5304992529093578,topic_loading_62,62,"includes, extension, complement","['includes', 'extension', 'complement', 'incorporated', 'incorporates', 'annex', 'encompassing', 'supplementary', 'extend', 'extends', 'encompasses', 'appendix']",Document Extensions and Supplements,"This topic relates to financial documentation including annexes, appendices, and supplementary materials for comprehensive disclosures."
2024Q1,topic_loading_465,5.4706381595544945e-05,0.0228065965896227,0.5533058494989807,topic_loading_465,465,,[],Undefined Topic,No terms available to determine the semantic content of this topic.
2024Q1,topic_loading_439,5.363120998195092e-05,0.0223583672507288,0.5756642167497095,topic_loading_439,439,,[],Undefined Topic,No terms available to determine the semantic content of this topic.
2024Q1,topic_loading_37,5.360578289532946e-05,0.0223477669278759,0.5980119836775855,topic_loading_37,37,"supporting, ensuring, establishing","['supporting', 'ensuring', 'establishing', 'reflecting', 'defining', 'complementing', 'strengthening', 'approving', 'confident', 'endorsement', 'reinforce', 'assure']",Risk Endorsement and Assurance,"This topic relates to establishing, supporting, and reinforcing confidence and endorsement in risk management practices."
2024Q1,topic_loading_267,5.184107583325839e-05,0.0216120764857431,0.6196240601633286,topic_loading_267,267,"early, pre, latter","['early', 'pre', 'latter', 'earlier', 'previously', 'preceding', 'forth', 'originally', 'recently', 'er']",Temporal Risk References,"This topic involves references to timing aspects including early, prior, and recent events affecting financial risks."
2024Q1,topic_loading_8,5.1420759798985466e-05,0.021436850525732,0.6410609106890607,topic_loading_8,8,"use, impairment, usage","['use', 'impairment', 'usage', 'breach', 'crime', 'attack', 'damage', 'fraud', 'waste', 'undue', 'utilization', 'excessive']",Impairment and Fraud Risks,"This topic addresses finance-related risks such as asset impairment, fraud, breaches, and misuse of resources."
2024Q1,topic_loading_22,4.985742734670572e-05,0.0207851113403805,0.6618460220294412,topic_loading_22,22,"within, across, exchange","['within', 'across', 'exchange', 'global', 'wide', 'forward', 'cross', 'throughout', 'aligned', 'around', 'intra', 'parallel']",Cross-Border and Global Exchange,This topic covers risk and operations occurring across global and intra-group exchanges and aligned financial channels.
2024Q1,topic_loading_191,4.495736528695888e-05,0.0187423197061799,0.6805883417356211,topic_loading_191,191,"concentration, intensive, contain","['concentration', 'intensive', 'contain', 'constrain', 'consolidating', 'concentrate', 'devote', 'concentrated', 'focal', 'focusses', 'prioritizes', 'refines']",Risk Concentration and Constraints,This topic focuses on the intensification and management of risk concentration within financial portfolios or exposures.
2024Q1,topic_loading_47,4.438500703434941e-05,0.0185037087180046,0.6990920504536258,topic_loading_47,47,"climate, via, eba","['climate', 'via', 'eba', 'gas', 'art', 'oil', 'house', 'water', 'air', 'light', 'fuel', 'open']",Environmental and Climate Risk,"This topic concerns financial risks related to climate change, environmental regulations, and energy resource impacts."
2024Q1,topic_loading_60,4.298496256085004e-05,0.0179200428168179,0.7170120932704437,topic_loading_60,60,"amount, million, measure","['amount', 'million', 'measure', 'unit', 'month', 'currency', 'measurement', 'number', 'quarter', 'supply', 'weighted', 'charge']",Financial Measurement and Units,"This topic deals with quantification and measurement of financial amounts including currency units, charges, and supply metrics."
2024Q1,topic_loading_348,4.210202948642098e-05,0.0175519559893429,0.7345640492597867,topic_loading_348,348,,[],Undefined Topic,No terms available to determine the semantic content of this topic.
